Type,beneficial_inst_P,neutral_inst_P,deleterious_inst_P,beneficial_inst_S,neutral_inst_S,deleterious_inst_S,beneficial_effective_P,neutral_effective_P,deleterious_effective_P,beneficial_effective_S,neutral_effective_S,deleterious_effective_S,dNdneutral_1,dNdneutral_2,dNdneutral_3,dNdneutral_4,dNdneutral_5,dNdneutral_6,dNdneutral_7,dNdneutral_8,dNdneutral_9,dNdneutral_10,dNdneutral_11,dNdneutral_12,dNdneutral_13,dNdneutral_14,dNdneutral_15,dNdneutral_16,dNdneutral_17,dNdneutral_18,dNdneutral_19,dNdneutral_20,dNdneutral_21,dNdneutral_22,dNdneutral_23,dNdneutral_24,dNdneutral_25,dNdneutral_26,dNdneutral_27,dNdneutral_28,dNdneutral_29,dNdneutral_30
Pseudo,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9802083333333333,0.9744791666666667,1.03125,1.0182291666666667,0.9942708333333333,1.0302083333333334,1.0140625,0.9807291666666667,0.9776041666666667,0.9848958333333333,0.953125,1.01875,1.0041666666666667,1.009375,0.9734375,0.9765625,1.0260416666666667,0.9708333333333333,1.0114583333333333,0.9854166666666667,0.9421875,0.9651041666666667,0.9953125,0.9833333333333333,0.9953125,0.9958333333333333,1.0067708333333334,1.0104166666666667,1.0203125,1.0125
Neutral,0.0,0.18036911012630708,0.8196308898736929,0.0,0.9241615213859105,0.07583847861408947,0.0,0.18036911012630708,0.8196308898736929,0.0,0.9241615213859105,0.07583847861408947,0.11875,0.10833333333333334,0.1078125,0.11041666666666666,0.11302083333333333,0.09791666666666667,0.09791666666666667,0.10208333333333333,0.1140625,0.0984375,0.11354166666666667,0.0984375,0.11041666666666666,0.11614583333333334,0.11041666666666666,0.11458333333333333,0.09479166666666666,0.11614583333333334,0.1140625,0.10208333333333333,0.096875,0.1109375,0.10729166666666666,0.08333333333333333,0.10572916666666667,0.0953125,0.09427083333333333,0.1,0.1015625,0.10416666666666667
Adaptive,0.04735569902384494,0.16643671569733112,0.7862075852788238,0.9693556233443525,0.02778890664546597,0.002855470010181431,0.04735569902384494,0.16643671569733112,0.7862075852788238,0.9693556233443525,0.02778890664546597,0.002855470010181431,3.64375,3.5640625,3.6479166666666667,3.5552083333333333,3.654166666666667,3.5833333333333335,3.5619791666666667,3.5963541666666665,3.5765625,3.496354166666667,3.4932291666666666,3.5755208333333335,3.629166666666667,3.535416666666667,3.5614583333333334,3.6703125,3.5677083333333335,3.6411458333333333,3.5703125,3.576041666666667,3.5885416666666665,3.566666666666667,3.5619791666666667,3.613541666666667,3.6234375,3.5458333333333334,3.5375,3.6098958333333333,3.6390625,3.583854166666667
Neutral_dom,0.0,0.16386159547099705,0.8361384045290029,0.0,0.9168364894565266,0.08316351054347344,0.0,0.16386159547099705,0.8361384045290029,0.0,0.9168364894565266,0.08316351054347344,0.10104166666666667,0.10989583333333333,0.10885416666666667,0.096875,0.11822916666666666,0.115625,0.11041666666666666,0.10416666666666667,0.10104166666666667,0.0984375,0.103125,0.11875,0.10364583333333334,0.10677083333333333,0.1078125,0.09427083333333333,0.12291666666666666,0.12552083333333333,0.11822916666666666,0.1109375,0.10989583333333333,0.1,0.11041666666666666,0.10885416666666667,0.121875,0.11614583333333334,0.0984375,0.10833333333333334,0.10677083333333333,0.11770833333333333
Adaptive_dom,0.059631090014685376,0.1466750936348894,0.7936938163504254,0.9791651700598745,0.018360739770627504,0.0024740901694981095,0.059631090014685376,0.1466750936348894,0.7936938163504254,0.9791651700598745,0.018360739770627504,0.0024740901694981095,5.278645833333333,5.347395833333334,5.209895833333333,5.316666666666666,5.280729166666666,5.3,5.2734375,5.399479166666667,5.253645833333334,5.3,5.2953125,5.227604166666667,5.313020833333334,5.261979166666666,5.2609375,5.258854166666667,5.263541666666667,5.322916666666667,5.265625,5.286458333333333,5.330729166666667,5.2796875,5.217708333333333,5.25,5.226041666666666,5.302604166666667,5.276041666666667,5.235416666666667,5.205208333333333,5.250520833333334
quasi_stablespace20,0.007690173298088984,0.17902500940833804,0.8132848172935728,0.031424287899376194,0.8936742881636567,0.07490142393696726,0.007690173298088984,0.17902500940833804,0.8132848172935728,0.031424287899376194,0.8936742881636567,0.07490142393696726,0.10260416666666666,0.11197916666666667,0.11510416666666666,0.096875,0.0984375,0.10729166666666666,0.10364583333333334,0.109375,0.10364583333333334,0.10104166666666667,0.1203125,0.11354166666666667,0.10416666666666667,0.1171875,0.10833333333333334,0.11875,0.11354166666666667,0.1203125,0.11458333333333333,0.115625,0.10729166666666666,0.10260416666666666,0.115625,0.10052083333333334,0.10208333333333333,0.11458333333333333,0.11614583333333334,0.10677083333333333,0.11458333333333333,0.13020833333333334
quasi_dom,0.022411218632023777,0.157644257221665,0.8199445241463112,0.015143301302245131,0.9088760142912045,0.07598068440655042,0.01752996942220443,0.157644257221665,0.8248257733561305,0.014071097172114484,0.9088760142912045,0.07705288853668106,0.10052083333333334,0.10572916666666667,0.1,0.1046875,0.11979166666666667,0.10520833333333333,0.11666666666666667,0.10052083333333334,0.1125,0.11458333333333333,0.09947916666666666,0.1125,0.09583333333333334,0.10572916666666667,0.10208333333333333,0.10572916666666667,0.10260416666666666,0.10364583333333334,0.10520833333333333,0.10885416666666667,0.10364583333333334,0.1015625,0.10052083333333334,0.10572916666666667,0.10989583333333333,0.09947916666666666,0.11666666666666667,0.1109375,0.09583333333333334,0.11510416666666666
quasi_env2,0.03454555463352508,0.16950786756411718,0.7959465778023576,0.7338549930491899,0.0796950037621495,0.18645000318866067,0.04159859291863815,0.16950786756411718,0.788893539517245,0.9125961233160258,0.0796950037621495,0.007708872921824744,1.3776041666666667,1.5791666666666666,1.1739583333333334,1.3989583333333333,1.1817708333333334,1.2234375,1.1671875,1.2666666666666666,1.3239583333333333,1.1291666666666667,1.0729166666666667,1.3963541666666666,1.3020833333333333,1.2401041666666666,1.1291666666666667,1.41875,1.1604166666666667,1.39375,1.275,1.3510416666666667,1.2,1.1223958333333333,1.3984375,1.3770833333333334,0.9885416666666667,1.3364583333333333,1.2536458333333333,1.0557291666666666,1.0859375,1.3614583333333334
quasi_env5,0.022900863067644547,0.17576605701292305,0.8013330799194324,0.49196491200343023,0.2905062055406982,0.21752888245587157,0.0240958780964839,0.17576605701292305,0.800138064890593,0.6834945489594662,0.2905062055406982,0.02599924549983551,0.37447916666666664,0.3546875,0.375,0.3609375,0.3567708333333333,0.340625,0.3765625,0.38229166666666664,0.29270833333333335,0.32864583333333336,0.28020833333333334,0.328125,0.32395833333333335,0.3260416666666667,0.3697916666666667,0.33229166666666665,0.36875,0.37604166666666666,0.34791666666666665,0.3296875,0.3453125,0.334375,0.37135416666666665,0.39427083333333335,0.32395833333333335,0.32708333333333334,0.33958333333333335,0.3697916666666667,0.35625,0.3302083333333333
quasi_env10,0.02043354747901717,0.17650715642748274,0.8030592960935,0.20180601626527842,0.647195285815371,0.15099869791935064,0.01827082562186091,0.17650715642748274,0.8052220179506564,0.2998566936378407,0.647195285815371,0.05294802054678841,0.15052083333333333,0.1453125,0.165625,0.14583333333333334,0.1578125,0.16458333333333333,0.14270833333333333,0.15416666666666667,0.1515625,0.1421875,0.1609375,0.15885416666666666,0.1578125,0.16041666666666668,0.146875,0.15052083333333333,0.146875,0.16145833333333334,0.15625,0.17864583333333334,0.140625,0.14739583333333334,0.14375,0.15677083333333333,0.15416666666666667,0.15416666666666667,0.14947916666666666,0.1453125,0.1453125,0.16822916666666668
