FB_name,N_orthologs,dN
FBgn0000117,6,0.0006
FBgn0000479,5,0.0013
FBgn0000633,6,0.009
FBgn0000715,6,0.0119
FBgn0001297,6,0.0254
FBgn0003162,6,0.0033
FBgn0003507,6,0.0136
FBgn0003515,6,0.0014
FBgn0003716,6,0.0026
FBgn0004108,6,0.0011
FBgn0004381,6,0.0039
FBgn0004580,6,0.0001
FBgn0011288,6,0.002
FBgn0013995,6,0.0036
FBgn0014857,6,0.0001
FBgn0016797,6,0.0006
FBgn0022349,6,0.0332
FBgn0024321,6,0.0125
FBgn0027093,6,0.0067
FBgn0027287,6,0.0245
FBgn0027356,6,0.0034
FBgn0028473,6,0.0032
FBgn0028496,3,0.0026
FBgn0028645,6,0.0057
FBgn0029690,5,0.0078
FBgn0030054,6,0.0269
FBgn0030096,6,0.0169
FBgn0030331,6,0.0317
FBgn0030505,6,0.0106
FBgn0031149,6,0.0006
FBgn0031752,6,0.0154
FBgn0031945,6,0.0064
FBgn0032629,6,0.0099
FBgn0032694,6,0.0015
FBgn0032911,6,0.0047
FBgn0033584,6,0.0105
FBgn0033808,6,0.0483
FBgn0033983,6,0.005
FBgn0034476,6,0.0019
FBgn0035718,6,0.0113
FBgn0035755,6,0.0013
FBgn0036029,4,0.062
FBgn0036030,6,0.0001
FBgn0036202,6,0.0056
FBgn0036368,6,0.0014
FBgn0036454,6,0.0025
FBgn0036463,6,0.0096
FBgn0036934,6,0.0027
FBgn0037153,6,0.0065
FBgn0038202,6,0.0179
FBgn0038358,6,0.0039
FBgn0038746,6,0.0197
FBgn0038925,6,0.0047
FBgn0038968,6,0.0163
FBgn0039078,6,0.0053
FBgn0039157,6,0.0011
FBgn0039694,6,0.0232
FBgn0039728,6,0.0042
FBgn0041096,2,0.0031
FBgn0041789,6,0.0037
FBgn0042135,6,0.0025
FBgn0050440,6,0.0359
FBgn0051092,6,0.0173
FBgn0051183,6,0.0015
FBgn0051221,6,0.0039
FBgn0053158,6,0.0057
FBgn0085382,6,0.0046
FBgn0085385,6,0.0001
FBgn0250907,6,0.0318
FBgn0250910,6,0.0078
FBgn0259227,6,0.0298
FBgn0259918,6,0.0102
FBgn0260812,6,0.0025
FBgn0260945,6,0.0005
FBgn0261053,6,0.005
FBgn0261674,6,0.0101
FBgn0263111,5,0.0005
FBgn0263346,6,0.0103
FBgn0264078,6,0.0001
FBgn0264357,6,0.0052
FBgn0264490,6,0.0105
FBgn0264695,6,0.0004
FBgn0264753,6,0.0034
FBgn0265356,6,0.0028
FBgn0266347,4,0.0017
FBgn0266557,6,0.008
FBgn0266581,6,0.0044
FBgn0266758,6,0.0033
FBgn0283651,6,0.0007
FBgn0287185,6,0.031
